GameId	Region	GameTitle	Link
NPUB31552	US	Resident Evil HD Remaster Theme	http://zeus.dl.playstation.net/cdn/UP0102/NPUB31552_00/GEubSqhUhUpbXtSsKQJKmJjRsRGBfSaavQtaJEtUVDjGlYcEHyILfVSsXsbDGDia.pkg
BCES01143	EU	inFAMOUS 2 - Stalker Grenade	http://zeus.dl.playstation.net/cdn/EP9000/BCES01143_00/imTMoLivMiwGmyUTSPnrDDrRstADrCeIAemUKikGFLPlGLzpByXhLfWMOQtVgLOd.pkg
NPIA00001	INT	PS2 System Data	http://zeus.dl.playstation.net/cdn/IP9100/NPIA00001_00/puP23y2qefPKufNC0ObTDdSstPVgrrq7fUsEALPDYCuNoNp5AyW2TW5O2XPReYTSJ3x8e0vV3stf2DfNrO3d4xjgUx3SybiR8GNFd.pkg?product=0088&country=jp
NPUA80136	US	Siren - Blood Curse Episode 5	http://zeus.dl.playstation.net/cdn/UP9000/NPUA80136_00/9fpxUUU0RAf7fOLOxXXbmXvN29vPgiFaaww2nipiAcbV2sdD2Jbpyc7XAYhvJprGcWoj3FeTDV0AdWqqrSTSP5NrBYpLSAdRo1u81.pkg
NPUA80136	US	Siren - Blood Curse Episode 7	http://zeus.dl.playstation.net/cdn/UP9000/NPUA80136_00/dPsVCOjaq5GTmOCxPHKIf1vuMdTwgt6NwDCYikjerieKaoWbt6iBCid31CJvV2jBObVdcn8jp2689vMR517rmWwnVjw0wpQqJuQ4k.pkg
NPUA80136	US	Siren - Blood Curse Episode 10	http://zeus.dl.playstation.net/cdn/UP9000/NPUA80136_00/gMXMhFdM2Kxai6TlQ2gfCDx15fyYgKkHjfmltQJj4LmlQJ3jp8nHpu7Yhs4yTXDhhHa2UjsvToLKyPqTA2RFptF0SJ7v0OYSxAtim.pkg
NPUA80136	US	Siren - Blood Curse Episode 4	http://zeus.dl.playstation.net/cdn/UP9000/NPUA80136_00/gYDpbQXktH2Cxew9xyxpHrHg3noKskEVF8XHff6j2etBi4NenX5B0shf0qEve52R9uF4IbGUUCXt3XMhi7iSRttkslOpxR95icfLu.pkg
NPUA80136	US	Siren - Blood Curse Episode 8	http://zeus.dl.playstation.net/cdn/UP9000/NPUA80136_00/H4Ah9HGnvjJwe6aqXGRh7I51nhfwgBFHISigcO1ADNx443vf96Hp8TgBW69QOYyCVoGALCKkQcxIspRJNjyDfMmF3RP91DeymK2kX.pkg
NPUA80136	US	Siren - Blood Curse Episode 11	http://zeus.dl.playstation.net/cdn/UP9000/NPUA80136_00/JdpGhGXYf3nFNrID9oebltGvuXVScaI5c0HJYI3AkwLX1Xcnd6Xki51unwvlODq6irvIbJ68autHPf5vAQXGuqixnHBnhxOj6QyAu.pkg
NPUA80136	US	Siren - Blood Curse Episode 3	http://zeus.dl.playstation.net/cdn/UP9000/NPUA80136_00/LEVnsjqC3A5PgEdhjbRRO3cVjbO1LmqJgDcwaebRM0jpBd2jfuErdSEGOqtBEHhykIuBEoQ3SXUvGx5WWeF00OqWoRtC3NTmRsFAl.pkg
NPUA80136	US	Siren - Blood Curse Episode 6	http://zeus.dl.playstation.net/cdn/UP9000/NPUA80136_00/LI358nWskUOPe9jIYndhNaSbwd4X2erKijkRShMliBeTlBcQsFwwYqKxsJ1sn1uJ4oJnlXp9KWNtkemEvfBA2eieAY6eXBLSyA9Pb.pkg
NPUA80136	US	Siren - Blood Curse Episode 12	http://zeus.dl.playstation.net/cdn/UP9000/NPUA80136_00/x8x1jqIImmeyVIlktQRo6p0KBuXFviImtCdp9HFd7J7AA3dAKfJJv0wb6sYwWp7qP2Nh4w2u9aeG8MgtRKBc0Ea00Bv5Sl1vl4YGv.pkg
NPUA80136	US	Siren - Blood Curse Episode 2	http://zeus.dl.playstation.net/cdn/UP9000/NPUA80136_00/xD5cwX8eWaEsCuLg1bxytIx0XQnuDxuwUS8MKN2cDo2UDQ1KjMchN9XJyixPJEBFOD7RKT7eTe6N4vAoirAx3pTfQtytCO1V9wuJD.pkg
NPUA80136	US	Siren - Blood Curse Episode 9	http://zeus.dl.playstation.net/cdn/UP9000/NPUA80136_00/xtVWx0EYLEfJh2tHDkc3KpEO3HGnwonl3FPtueOMsL0W2GXyIQXNhsfIvhAQYkPgsTHbMtu44oXBoBvBKlXXyQ6LdKOpWTUvEwLdF.pkg
NPUA80912	US	MLB 13 The Show - Part 2	http://zeus.dl.playstation.net/cdn/UP9000/NPUA80912_00/NuidXfAGdKCzAPNHKltKoMgHaWFdQRYzkrKEGBWqKzRFGNWnzMQgANzhvjgEZyceADSvXxhBMmaLQmqTfJGjwHHXoNpyWlwmKyVYJ.pkg
NPUB30343	US	The Fancy Pants Adventures - Unlock exdata edat	http://zeus.dl.playstation.net/cdn/UP0006/NPUB30343_00/fsEBNpeIrMOpIFjsFjQBgWxthvMapxpviHWqRqxBoMMVqqKHgTkPjisQDxcjSEUtVSUCnxiqjfyMKVQWKaYvJQYwnslPYjiosPiYY.pkg
NPUB30722	US	Closure - full game exdata unlock edat	http://zeus.dl.playstation.net/cdn/UP2067/NPUB30722_00/HNdlrfBlKolPHgQihwbzUoNqXopyZsuHfEXsCeYiSFGLkyKPEOwqfzPLGjPACgOEQLKMhEUJNixZcWeuUrEbRhqVMLuwGteRRPxga.pkg
NPUB31554	US	Super Mega Baseball Unlock Key	http://zeus.dl.playstation.net/cdn/UP2155/NPUB31554_00/UP2155-NPUB31554_00-SMBUNLOCKKEY0001_bg_1_91c14cbc18327c8a68d05a3e8870b1cb5ae6bc85.pkg
NPUB31636	US	Life is Strange Episode 1	http://zeus.dl.playstation.net/cdn/UP0082/NPUB31636_00/UP0082-NPUB31636_00-EPISODE000000001_bg_1_6b957189707b4f774bfb916e017bfab93fc1bc25.pkg
NPJA00070	JP	Journey - Unlock Key	http://zeus.dl.playstation.net/cdn/JP9000/NPJA00070_00/MUPtIusFUPDupekmReEGPaAySoGnDNgALjUvqEfDzlxuZJODBsVuIyqcmvMIXfeWbiBuEhDYBONuAGpDtVezvjuItkKjUjKgfRzya.pkg
NPJB00039	JP	Wizardry 囚われし魂の迷宮 製品版 解除キー	http://zeus.dl.playstation.net/cdn/JP0048/NPJB00039_00/6ef5PHMA6XOvC8SDN8KeTxPEKCuclpN2dQ2ONVJwma0t6jXAs5q4UUD1UXUce5QmJDIKwRFsV7Nnw6WftnIJ6gK6f9InMOAyd9jmq.pkg
NPJB00155	JP	LIMBO 製品版解除キー	http://zeus.dl.playstation.net/cdn/JP0023/NPJB00155_00/gVrbZIMqUjaEbwrFTJctLKTrsGHTpYDtcwOvUUMSkYfRtmvzUxodrCZYGdvIIqDtGWVONomZfjqFmkYzfJqsYAFlVlyxMoQTvyRKM.pkg
NPJB00168	JP	Rocketbirds: Hardboiled Chicken (体験版解除キー)	http://zeus.dl.playstation.net/cdn/JP0032/NPJB00168_00/NbvlOhJcZblmaJinLGrRRCJjCfNtCtwQUJJpAtOezAsLzWdMeZnzHvJxdmhPUneTYTkDcChKVLQMmXltJCUyYuFhzKLHaiYCehwIY.pkg
